"","region","crop","phi","fact","value"
"1","Australia and New Zealand","M",2,"IPM",0.172179880526316
"2","Australia and New Zealand","M",2,"MET",0.167879015087719
"3","Australia and New Zealand","M",2,"POP",0.0038335487524386
"4","Australia and New Zealand","M",3,"IPM",0.169046537192982
"5","Australia and New Zealand","M",3,"MET",0.167879015087719
"6","Australia and New Zealand","M",3,"POP",0.00132366988070175
"7","Australia and New Zealand","M",4,"IPM",0.164458788947368
"8","Australia and New Zealand","M",4,"MET",0.167879015087719
"9","Australia and New Zealand","M",4,"POP",-0.00234816540175439
"10","Australia and New Zealand","R",2,"IPM",0.21166732
"11","Australia and New Zealand","R",2,"MET",0.1953765235
"12","Australia and New Zealand","R",2,"POP",0.01357202198
"13","Australia and New Zealand","R",3,"IPM",0.2150871335
"14","Australia and New Zealand","R",3,"MET",0.1953765235
"15","Australia and New Zealand","R",3,"POP",0.016469753115
"16","Australia and New Zealand","R",4,"IPM",0.220302565
"17","Australia and New Zealand","R",4,"MET",0.1953765235
"18","Australia and New Zealand","R",4,"POP",0.020886746732
"19","Australia and New Zealand","W",2,"IPM",0.190899331923077
"20","Australia and New Zealand","W",2,"MET",0.149834501858974
"21","Australia and New Zealand","W",2,"POP",0.0352663863333333
"22","Australia and New Zealand","W",3,"IPM",0.230898524487179
"23","Australia and New Zealand","W",3,"MET",0.149834501858974
"24","Australia and New Zealand","W",3,"POP",0.0696262961230769
"25","Australia and New Zealand","W",4,"IPM",0.309604033974359
"26","Australia and New Zealand","W",4,"MET",0.149834501858974
"27","Australia and New Zealand","W",4,"POP",0.137337321071795
"28","Caribbean","M",2,"IPM",0.100075792636364
"29","Caribbean","M",2,"MET",0.140262974545455
"30","Caribbean","M",2,"POP",-0.0350769135454545
"31","Caribbean","M",3,"IPM",0.0628504761363636
"32","Caribbean","M",3,"MET",0.140262974545455
"33","Caribbean","M",3,"POP",-0.0675730367272727
"34","Caribbean","M",4,"IPM",-0.00283076397272727
"35","Caribbean","M",4,"MET",0.140262974545455
"36","Caribbean","M",4,"POP",-0.124944564909091
"37","Caribbean","R",2,"IPM",0.118573010454545
"38","Caribbean","R",2,"MET",0.144950395454545
"39","Caribbean","R",2,"POP",-0.0228847279909091
"40","Caribbean","R",3,"IPM",0.0990185857272727
"41","Caribbean","R",3,"MET",0.144950395454545
"42","Caribbean","R",3,"POP",-0.0398430066281818
"43","Caribbean","R",4,"IPM",0.0723118920272727
"44","Caribbean","R",4,"MET",0.144950395454545
"45","Caribbean","R",4,"POP",-0.0630098375181818
"46","Caribbean","W",2,"IPM",NA
"47","Caribbean","W",2,"MET",NA
"48","Caribbean","W",2,"POP",NA
"49","Caribbean","W",3,"IPM",NA
"50","Caribbean","W",3,"MET",NA
"51","Caribbean","W",3,"POP",NA
"52","Caribbean","W",4,"IPM",NA
"53","Caribbean","W",4,"MET",NA
"54","Caribbean","W",4,"POP",NA
"55","Central America","M",2,"IPM",0.190129210339869
"56","Central America","M",2,"MET",0.183948325163399
"57","Central America","M",2,"POP",0.00458736267367124
"58","Central America","M",3,"IPM",0.261044991254902
"59","Central America","M",3,"MET",0.183948325163399
"60","Central America","M",3,"POP",0.0619571793679739
"61","Central America","M",4,"IPM",1.47489133438584
"62","Central America","M",4,"MET",0.183948325163399
"63","Central America","M",4,"POP",86.1197484667005
"64","Central America","R",2,"IPM",0.133615873587302
"65","Central America","R",2,"MET",0.180225574285714
"66","Central America","R",2,"POP",-0.0389931463587302
"67","Central America","R",3,"IPM",0.112738750095238
"68","Central America","R",3,"MET",0.180225574285714
"69","Central America","R",3,"POP",-0.056350906068254
"70","Central America","R",4,"IPM",0.0827339938333333
"71","Central America","R",4,"MET",0.180225574285714
"72","Central America","R",4,"POP",-0.081281248647619
"73","Central America","W",2,"IPM",0.187051835164835
"74","Central America","W",2,"MET",0.186416757582418
"75","Central America","W",2,"POP",0.000453693810153846
"76","Central America","W",3,"IPM",0.188970022857143
"77","Central America","W",3,"MET",0.186416757582418
"78","Central America","W",3,"POP",0.00199851837153846
"79","Central America","W",4,"IPM",0.192484806153846
"80","Central America","W",4,"MET",0.186416757582418
"81","Central America","W",4,"POP",0.00484035824901099
"82","Central Asia","M",2,"IPM",0.223968207594937
"83","Central Asia","M",2,"MET",0.223821503670886
"84","Central Asia","M",2,"POP",0.000646108508734178
"85","Central Asia","M",3,"IPM",0.183075047797468
"86","Central Asia","M",3,"MET",0.223821503670886
"87","Central Asia","M",3,"POP",-0.0317173261329114
"88","Central Asia","M",4,"IPM",-0.0233045587101266
"89","Central Asia","M",4,"MET",0.223821503670886
"90","Central Asia","M",4,"POP",-0.196696860605063
"91","Central Asia","R",2,"IPM",0.299828472692308
"92","Central Asia","R",2,"MET",0.261449611153846
"93","Central Asia","R",2,"POP",0.0299988326655769
"94","Central Asia","R",3,"IPM",0.362995530192308
"95","Central Asia","R",3,"MET",0.261449611153846
"96","Central Asia","R",3,"POP",0.0791705296153846
"97","Central Asia","R",4,"IPM",1.26440164919683
"98","Central Asia","R",4,"MET",0.261449611153846
"99","Central Asia","R",4,"POP",5.29023724597885
"100","Central Asia","W",2,"IPM",0.289170676239316
"101","Central Asia","W",2,"MET",0.232942731452991
"102","Central Asia","W",2,"POP",0.0449449685470085
"103","Central Asia","W",3,"IPM",0.320777306324786
"104","Central Asia","W",3,"MET",0.232942731452991
"105","Central Asia","W",3,"POP",0.0701661392051282
"106","Central Asia","W",4,"IPM",0.390187235726496
"107","Central Asia","W",4,"MET",0.232942731452991
"108","Central Asia","W",4,"POP",0.125623104119658
"109","Eastern Africa","M",2,"IPM",0.163597599911111
"110","Eastern Africa","M",2,"MET",0.183880154222222
"111","Eastern Africa","M",2,"POP",-0.0167589631482267
"112","Eastern Africa","M",3,"IPM",0.147979887973333
"113","Eastern Africa","M",3,"MET",0.183880154222222
"114","Eastern Africa","M",3,"POP",-0.0296697599043111
"115","Eastern Africa","M",4,"IPM",0.125581723548444
"116","Eastern Africa","M",4,"MET",0.183880154222222
"117","Eastern Africa","M",4,"POP",-0.0481949964726222
"118","Eastern Africa","R",2,"IPM",0.159322104028571
"119","Eastern Africa","R",2,"MET",0.189960341809524
"120","Eastern Africa","R",2,"POP",-0.0251680512720476
"121","Eastern Africa","R",3,"IPM",0.131558286164762
"122","Eastern Africa","R",3,"MET",0.189960341809524
"123","Eastern Africa","R",3,"POP",-0.0479674473730952
"124","Eastern Africa","R",4,"IPM",0.075412406352381
"125","Eastern Africa","R",4,"MET",0.189960341809524
"126","Eastern Africa","R",4,"POP",-0.0941573004611905
"127","Eastern Africa","W",2,"IPM",0.169458788193833
"128","Eastern Africa","W",2,"MET",0.177374619779736
"129","Eastern Africa","W",2,"POP",-0.00661204135079736
"130","Eastern Africa","W",3,"IPM",0.165409759251101
"131","Eastern Africa","W",3,"MET",0.177374619779736
"132","Eastern Africa","W",3,"POP",-0.00997709304962996
"133","Eastern Africa","W",4,"IPM",0.160361986039648
"134","Eastern Africa","W",4,"MET",0.177374619779736
"135","Eastern Africa","W",4,"POP",-0.0141742689273612
"136","Eastern Asia","M",2,"IPM",0.229013270800712
"137","Eastern Asia","M",2,"MET",0.186783900338078
"138","Eastern Asia","M",2,"POP",0.0358398268114057
"139","Eastern Asia","M",3,"IPM",0.271739147688612
"140","Eastern Asia","M",3,"MET",0.186783900338078
"141","Eastern Asia","M",3,"POP",0.0718530962186726
"142","Eastern Asia","M",4,"IPM",0.669839431489126
"143","Eastern Asia","M",4,"MET",0.186783900338078
"144","Eastern Asia","M",4,"POP",10.5003328377185
"145","Eastern Asia","R",2,"IPM",0.248970634472574
"146","Eastern Asia","R",2,"MET",0.199581191033755
"147","Eastern Asia","R",2,"POP",0.0413133841579536
"148","Eastern Asia","R",3,"IPM",0.286837912386448
"149","Eastern Asia","R",3,"MET",0.199581191033755
"150","Eastern Asia","R",3,"POP",0.144057827350422
"151","Eastern Asia","R",4,"IPM",0.414771261749404
"152","Eastern Asia","R",4,"MET",0.199581191033755
"153","Eastern Asia","R",4,"POP",0.296597856806013
"154","Eastern Asia","W",2,"IPM",0.27278580025
"155","Eastern Asia","W",2,"MET",0.192550065029412
"156","Eastern Asia","W",2,"POP",0.0666315830913088
"157","Eastern Asia","W",3,"IPM",0.613888012988588
"158","Eastern Asia","W",3,"MET",0.192550065029412
"159","Eastern Asia","W",3,"POP",13.4816678250615
"160","Eastern Asia","W",4,"IPM",3.12090416217346
"161","Eastern Asia","W",4,"MET",0.192550065029412
"162","Eastern Asia","W",4,"POP",93.8814122859968
"163","Eastern Europe","M",2,"IPM",0.256908253898635
"164","Eastern Europe","M",2,"MET",0.214576696296296
"165","Eastern Europe","M",2,"POP",0.0351651644922612
"166","Eastern Europe","M",3,"IPM",0.271258506764133
"167","Eastern Europe","M",3,"MET",0.214576696296296
"168","Eastern Europe","M",3,"POP",0.0472346569158616
"169","Eastern Europe","M",4,"IPM",0.305421175530214
"170","Eastern Europe","M",4,"MET",0.214576696296296
"171","Eastern Europe","M",4,"POP",0.0757614806794932
"172","Eastern Europe","R",2,"IPM",0.273995487596154
"173","Eastern Europe","R",2,"MET",0.245639704519231
"174","Eastern Europe","R",2,"POP",0.0238234306570192
"175","Eastern Europe","R",3,"IPM",0.282403475384615
"176","Eastern Europe","R",3,"MET",0.245639704519231
"177","Eastern Europe","R",3,"POP",0.0318617274557692
"178","Eastern Europe","R",4,"IPM",0.660030770270636
"179","Eastern Europe","R",4,"MET",0.245639704519231
"180","Eastern Europe","R",4,"POP",27.1436973928087
"181","Eastern Europe","W",2,"IPM",0.289403843571429
"182","Eastern Europe","W",2,"MET",0.225122944623016
"183","Eastern Europe","W",2,"POP",0.0522408210367063
"184","Eastern Europe","W",3,"IPM",0.485068341686508
"185","Eastern Europe","W",3,"MET",0.225122944623016
"186","Eastern Europe","W",3,"POP",13.0444669148034
"187","Eastern Europe","W",4,"IPM",0.703087960238095
"188","Eastern Europe","W",4,"MET",0.225122944623016
"189","Eastern Europe","W",4,"POP",21.4219272450196
"190","Melanesia","M",2,"IPM",0.116703443166667
"191","Melanesia","M",2,"MET",0.1334793575
"192","Melanesia","M",2,"POP",-0.014877396625
"193","Melanesia","M",3,"IPM",0.563666612862962
"194","Melanesia","M",3,"MET",0.1334793575
"195","Melanesia","M",3,"POP",24.0204126890417
"196","Melanesia","M",4,"IPM",1.40322950429305
"197","Melanesia","M",4,"MET",0.1334793575
"198","Melanesia","M",4,"POP",74.4540766965417
"199","Melanesia","R",2,"IPM",0.126694649116667
"200","Melanesia","R",2,"MET",0.141594435833333
"201","Melanesia","R",2,"POP",-0.0132411888541667
"202","Melanesia","R",3,"IPM",0.341594901333333
"203","Melanesia","R",3,"MET",0.141594435833333
"204","Melanesia","R",3,"POP",0.166375158125
"205","Melanesia","R",4,"IPM",0.486114155333333
"206","Melanesia","R",4,"MET",0.141594435833333
"207","Melanesia","R",4,"POP",0.29082469225
"208","Melanesia","W",2,"IPM",NA
"209","Melanesia","W",2,"MET",NA
"210","Melanesia","W",2,"POP",NA
"211","Melanesia","W",3,"IPM",NA
"212","Melanesia","W",3,"MET",NA
"213","Melanesia","W",3,"POP",NA
"214","Melanesia","W",4,"IPM",NA
"215","Melanesia","W",4,"MET",NA
"216","Melanesia","W",4,"POP",NA
"217","Middle Africa","M",2,"IPM",0.16804244465641
"218","Middle Africa","M",2,"MET",0.191983945076923
"219","Middle Africa","M",2,"POP",-0.0198366104245128
"220","Middle Africa","M",3,"IPM",0.150559326061538
"221","Middle Africa","M",3,"MET",0.191983945076923
"222","Middle Africa","M",3,"POP",-0.0343056161753846
"223","Middle Africa","M",4,"IPM",0.124275361752103
"224","Middle Africa","M",4,"MET",0.191983945076923
"225","Middle Africa","M",4,"POP",-0.0560589811979487
"226","Middle Africa","R",2,"IPM",0.154753294091954
"227","Middle Africa","R",2,"MET",0.188111585804598
"228","Middle Africa","R",2,"POP",-0.0278245417
"229","Middle Africa","R",3,"IPM",0.12858795116092
"230","Middle Africa","R",3,"MET",0.188111585804598
"231","Middle Africa","R",3,"POP",-0.0496241342092529
"232","Middle Africa","R",4,"IPM",0.0886834431552874
"233","Middle Africa","R",4,"MET",0.188111585804598
"234","Middle Africa","R",4,"POP",-0.082902862457069
"235","Middle Africa","W",2,"IPM",0.179414365403727
"236","Middle Africa","W",2,"MET",0.191077908074534
"237","Middle Africa","W",2,"POP",-0.00973125325919255
"238","Middle Africa","W",3,"IPM",0.173184386335404
"239","Middle Africa","W",3,"MET",0.191077908074534
"240","Middle Africa","W",3,"POP",-0.0149258199528634
"241","Middle Africa","W",4,"IPM",0.165675212428571
"242","Middle Africa","W",4,"MET",0.191077908074534
"243","Middle Africa","W",4,"POP",-0.0211861610314286
"244","Northern Africa","M",2,"IPM",0.209075166375
"245","Northern Africa","M",2,"MET",0.21512149625
"246","Northern Africa","M",2,"POP",-0.0044821157755
"247","Northern Africa","M",3,"IPM",0.20686001425
"248","Northern Africa","M",3,"MET",0.21512149625
"249","Northern Africa","M",3,"POP",-0.00593623996425
"250","Northern Africa","M",4,"IPM",0.2088396571375
"251","Northern Africa","M",4,"MET",0.21512149625
"252","Northern Africa","M",4,"POP",-0.003875454587875
"253","Northern Africa","R",2,"IPM",0.200337110246914
"254","Northern Africa","R",2,"MET",0.21820862962963
"255","Northern Africa","R",2,"POP",-0.0142356679366667
"256","Northern Africa","R",3,"IPM",0.185665324716049
"257","Northern Africa","R",3,"MET",0.21820862962963
"258","Northern Africa","R",3,"POP",-0.0259305004350617
"259","Northern Africa","R",4,"IPM",0.16392003617284
"260","Northern Africa","R",4,"MET",0.21820862962963
"261","Northern Africa","R",4,"POP",-0.0432710046753086
"262","Northern Africa","W",2,"IPM",0.2117942922
"263","Northern Africa","W",2,"MET",0.198535768
"264","Northern Africa","W",2,"POP",0.0108953829504
"265","Northern Africa","W",3,"IPM",0.223446605
"266","Northern Africa","W",3,"MET",0.198535768
"267","Northern Africa","W",3,"POP",0.0204649328068
"268","Northern Africa","W",4,"IPM",0.2447206586
"269","Northern Africa","W",4,"MET",0.198535768
"270","Northern Africa","W",4,"POP",0.0379094479606
"271","Northern America","M",2,"IPM",0.266402313109091
"272","Northern America","M",2,"MET",0.234179203254545
